tlp_id,seq_num,payload_bytes,tlp_bytes,rc_delay_ns,link_delay_ns,endpoint_delay_ns,replay_delay_ns,total_link_latency_ns
304,304,4,20,20.0,150.0,50.0,0.0,220.0
305,305,4,20,20.0,150.0,50.0,0.0,220.0
306,306,4,20,20.0,150.0,50.0,0.0,220.0
307,307,4,20,20.0,150.0,50.0,0.0,220.0
308,308,4,20,20.0,150.0,50.0,0.0,220.0
309,309,4,20,20.0,150.0,50.0,0.0,220.0
310,310,4,20,20.0,150.0,50.0,0.0,220.0
311,311,4,20,20.0,150.0,50.0,0.0,220.0
312,312,4,20,20.0,150.0,50.0,0.0,220.0
313,313,4,20,20.0,150.0,50.0,0.0,220.0
314,314,4,20,20.0,150.0,50.0,0.0,220.0
315,315,4,20,20.0,150.0,50.0,0.0,220.0
316,316,4,20,20.0,150.0,50.0,0.0,220.0
317,317,4,20,20.0,150.0,50.0,0.0,220.0
318,318,4,20,20.0,150.0,50.0,0.0,220.0
319,319,4,20,20.0,150.0,50.0,0.0,220.0
320,320,4,20,20.0,150.0,50.0,0.0,220.0
321,321,4,20,20.0,150.0,50.0,0.0,220.0
322,322,4,20,20.0,150.0,50.0,0.0,220.0
323,323,4,20,20.0,150.0,50.0,0.0,220.0
324,324,4,20,20.0,150.0,50.0,0.0,220.0
325,325,4,20,20.0,150.0,50.0,0.0,220.0
326,326,4,20,20.0,150.0,50.0,0.0,220.0
327,327,4,20,20.0,150.0,50.0,0.0,220.0
328,328,4,20,20.0,150.0,50.0,0.0,220.0
329,329,4,20,20.0,150.0,50.0,0.0,220.0
330,330,4,20,20.0,150.0,50.0,0.0,220.0
331,331,4,20,20.0,150.0,50.0,0.0,220.0
332,332,4,20,20.0,150.0,50.0,0.0,220.0
333,333,4,20,20.0,150.0,50.0,0.0,220.0
334,334,4,20,20.0,150.0,50.0,0.0,220.0
335,335,4,20,20.0,150.0,50.0,0.0,220.0
336,336,4,20,20.0,150.0,50.0,0.0,220.0
337,337,4,20,20.0,150.0,50.0,0.0,220.0
338,338,4,20,20.0,150.0,50.0,0.0,220.0
339,339,4,20,20.0,150.0,50.0,0.0,220.0
340,340,4,20,20.0,150.0,50.0,0.0,220.0
341,341,4,20,20.0,150.0,50.0,0.0,220.0
342,342,4,20,20.0,150.0,50.0,0.0,220.0
343,343,4,20,20.0,150.0,50.0,0.0,220.0
344,344,4,20,20.0,150.0,50.0,0.0,220.0
345,345,4,20,20.0,150.0,50.0,0.0,220.0
346,346,4,20,20.0,150.0,50.0,0.0,220.0
347,347,4,20,20.0,150.0,50.0,0.0,220.0
348,348,4,20,20.0,150.0,50.0,0.0,220.0
349,349,4,20,20.0,150.0,50.0,0.0,220.0
350,350,4,20,20.0,150.0,50.0,0.0,220.0
351,351,4,20,20.0,150.0,50.0,0.0,220.0
352,352,4,20,20.0,150.0,50.0,0.0,220.0
353,353,4,20,20.0,150.0,50.0,0.0,220.0
354,354,4,20,20.0,150.0,50.0,0.0,220.0
355,355,4,20,20.0,150.0,50.0,0.0,220.0
356,356,4,20,20.0,150.0,50.0,0.0,220.0
357,357,4,20,20.0,150.0,50.0,0.0,220.0
358,358,4,20,20.0,150.0,50.0,0.0,220.0
359,359,4,20,20.0,150.0,50.0,0.0,220.0
360,360,4,20,20.0,150.0,50.0,0.0,220.0
361,361,4,20,20.0,150.0,50.0,0.0,220.0
362,362,4,20,20.0,150.0,50.0,0.0,220.0
363,363,4,20,20.0,150.0,50.0,0.0,220.0
364,364,4,20,20.0,150.0,50.0,0.0,220.0
365,365,4,20,20.0,150.0,50.0,0.0,220.0
366,366,4,20,20.0,150.0,50.0,0.0,220.0
367,367,4,20,20.0,150.0,50.0,0.0,220.0
368,368,4,20,20.0,150.0,50.0,0.0,220.0
369,369,4,20,20.0,150.0,50.0,0.0,220.0
370,370,4,20,20.0,150.0,50.0,0.0,220.0
371,371,4,20,20.0,150.0,50.0,0.0,220.0
372,372,4,20,20.0,150.0,50.0,0.0,220.0
